Age,Gender,Location,Season_Preference,Season_Food_Preference,Mood_Preference,Mood_Food_Preference,Allergies,Allgery_restriction,Diet_Preference,Smell_Preference,Smell_restriction,Cuisine_Fav,Spice_Pref,Has_Food_Allergies,Mood_Spice_preference
35-44,Man,South India,Rainy;,rainy winter spicy veg summer veg salads,Happy,happy all type foods with less sugar,No,,Vegetarian,No,,"South Indian 

Ragi Balls or Any relate food of ragi 
Sprouts with chapti
Ice cream with jamoon",spicy,0,happy all type foods with less sugar - SpicyÊ
35-44,Man,South India,Winter;,rainy pokoda,Stressed,bajji,No,,Vegetarian,Yes,No,"Chettinad
Tandoori
Chinese ",mild,0,bajji - Mild
25-34,Man,South India,Winter;,sizzler,Relaxed,chinese,No,,Ovo-Vegetarians(Egg + Veg),No,,"Chinese
Andhra meals
Italian",spicy,0,chinese - SpicyÊ
45-54,Man,West India,Winter;,veg pacoda,Happy,gharam mirchi bajiya,No,,Gluten Free,No,,"Puran poli
Mutton grevi
Dal khichdi and ghee",spicy,0,gharam mirchi bajiya - SpicyÊ
35-44,Man,South India,No Preference;,winter soups,Relaxed,hot n sour soup,No,,Non-Vegetarian,Yes,,"Dosa
Briyani 
Chicken ",mild,0,hot n sour soup - Mild
25-34,Man,West India,Summer;,"summer icecreams and juices , winter samosa without onion garlic and from specific shops rainy season dal poli!!!!",Happy,paani poori,No,,Vegetarian,Yes,"Smell of meat, Onion Garlic!!! ","Jain 
South food pure vegetarian
Mysore vegtarian food ",spicy,0,paani poori - SpicyÊ
45-54,Man,South India,Winter;Rainy;,local authentic,Happy,chocolate,No,,Vegetarian,Yes,Fish smell ,"Local Authentic 
Unique cuisines like Pizza / Sandwiches. 
Biryani ",medium spicy,0,chocolate - Medium-spicy
25-34,Woman,South India,No Preference;,nothing special,Stressed,no veg items,No,,Non-Vegetarian,Yes,Foul smell,"Biriyani 
Mutton gravy
Tomato rice",medium spicy,0,no veg items - Medium-spicy
25-34,Man,South India,Summer;,chicken pakoda,No Influence,cream bun,No,,Non-Vegetarian,No,,"Country chicken,mutton, fish ",medium spicy,0,cream bun - Medium-spicy
55-64,Man,South India,Winter;,summer - salads winter - potato stuffed chapati rainy - tea and veg fritters,Happy,happy sweets,No,,Vegetarian,No,,"1-Dal rice
2-Chapati and potato fry
3- sweets
",mild,0,happy sweets - Mild
18-24,Woman,South India,Winter;,winter - gajar ka halwa summer - mango shikran rainy - pakodas,Happy,gulab jamun,No,,Vegetarian,Yes,Choclate perfumes,"Maharashtrian food
South Indian 
Konkani ",medium spicy,0,gulab jamun - Medium-spicy
25-34,Man,West India,Winter;,non veg for all seasons,Happy,non veg,No,,Non-Vegetarian,No,,"South indian
Sea food 
Mutton",spicy,0,non veg - SpicyÊ
18-24,Man,West India,Rainy;,paratha,Happy,monjonis,No,,Ovo-Vegetarians(Egg + Veg),Yes,Rotten egg,"Maharashtrian thali, misal , fried fish ",mild,0,monjonis - Mild
35-44,Man,South India,Rainy;,"pakoras, staters like chicken lollypop",Happy,chocolate,No,,Pescetarians (Sea Food + Veg),No,Strong odurs ,"Indian, continental, Chinese ",medium spicy,0,chocolate - Medium-spicy
18-24,Woman,South India,Rainy;,summer - ice creams and cold drinks winter - chai and vegetable salad,Happy,pizza,No,,Vegetarian,No,,"Son papdi, chips, KitKat chocolate ",medium spicy,0,pizza - Medium-spicy
45-54,Man,South India,No Preference;,biryani,Stressed,biscuts,No,,Non-Vegetarian,No,,Indian,medium spicy,0,biscuts - Medium-spicy
25-34,Man,South India,Winter;,freshly cooked food (hot) samosas,Happy,egg puffs,No,,Ovo-Vegetarians(Egg + Veg),No,,"1.North indian
2. South indian
",medium spicy,0,egg puffs - Medium-spicy
35-44,Woman,South India,Summer;,"summer ice cream, faloodas, winter hot fritters",Relaxed,relaxed desserts,No,,Vegetarian,No,,"South Indian
North Indian
Italian",medium spicy,0,relaxed desserts - Medium-spicy
55-64,Man,South India,No Preference;,rainy - coffee with veg starters. summer - coffee with masal vada so called indian winter - coffee with anything spicy.,No Influence,nan,Yes,Crustation Family Ie. Any sea food with shell ,Vegetarian,No,,"South Indian 
Continental 
Chinese ",spicy,1,nan - SpicyÊ
35-44,Man,South India,Summer;Winter;,"winters - moong dal kichidi, dosaõs and fried maggieõs. summers - chicken, sea food",Happy,ricebiriyanipizza with ice cream,No,,Non-Vegetarian,No,,"Indian 
Italian 
Chinese",spicy,0,ricebiriyanipizza with ice cream - SpicyÊ
25-34,Man,South India,Winter;Rainy;Summer;,winters - biriyani,Happy,biryani,No,,Non-Vegetarian,No,,"Indian
Chinese
Continental",medium spicy,0,biryani - Medium-spicy
55-64,Man,South India,No Preference;,nothing,Excited,rava roast,No,,Vegetarian,No,,South Indian food ,mild,0,rava roast - Mild
35-44,Woman,South India,Winter;Rainy;,coffee with mixture,Relaxed,comfort food like dal chawal,No,,Non-Vegetarian,Yes,Mustard,"North Indian , Japanese and Mediterranean ",spicy,0,comfort food like dal chawal - SpicyÊ
35-44,Man,South India,No Preference;,rainy - fried items winter/cold weather - chicken,Stressed,stressed sweets chocolates cakes,No,,Non-Vegetarian,No,,"Chinese, Burgers, Biryanis",spicy,0,stressed sweets chocolates cakes - SpicyÊ
25-34,Woman,South India,No Preference;,mango in summer,No Influence,sweet,No,,Non-Vegetarian,No,,"
South Indian
Bengali
Punjabi 
",medium spicy,0,sweet - Medium-spicy
55-64,Man,South India,Winter;,hot rasam,Relaxed,pongal with chatni,No,,Vegetarian,Yes,Non veg ,Poori Pongal masala dosa ,spicy,0,pongal with chatni - SpicyÊ
35-44,Woman,South India,Winter;,mutton paaya,Stressed,ice cream,No,,Non-Vegetarian,No,,"Hyderabadi, indo chinese, tex mex",medium spicy,0,ice cream - Medium-spicy
25-34,Man,South India,Winter;,"summer - faluda, mangos rainy - burn corn, samosa, ice cream winter - oranges, fast food",Stressed,preparing nonveg self and eating chocolates,No,,Non-Vegetarian,No,Salt fish,"Nonveg
Gulab jam with ice cream
Pastries",spicy,0,preparing nonveg self and eating chocolates - SpicyÊ
25-34,Man,South India,Winter;,"chicken tandoori, afghani chicken, tangdi kebab",Relaxed,anything which is grilled,No,,Non-Vegetarian,No,NA; Because I can't sense the smell since childhood ,"Malabari, chettinad and Goan ",medium spicy,0,anything which is grilled - Medium-spicy
25-34,Man,South India,Rainy;Winter;Summer;,all time street food,No Influence,all kinds of food,No,,Non-Vegetarian,No,,"Biryani, street food, chapati ladies finger fry ",spicy,0,all kinds of food - SpicyÊ
25-34,Woman,South India,Winter;Summer;,no,Excited,biryani,Yes,Lactose,Non-Vegetarian,No,,South Indian,mild,1,biryani - Mild
25-34,Man,North India,Winter;,"winter - momos with manchow soup, veg fritters with hot masala tea.",Happy,pizza or moong dal halwa,No,,Vegetarian,No,,"Indian, Chinese and American ",medium spicy,0,pizza or moong dal halwa - Medium-spicy
25-34,Woman,South India,Winter;,"momos, chaat",Happy,momos,No,,Ovo-Vegetarians(Egg + Veg),No,,"Chinese, South Indian, Continental",medium spicy,0,momos - Medium-spicy
25-34,Man,North India,Rainy;,winter - gajar ka halwa rainy - maggi summer - lassi,Excited,daal chawal,No,,Vegetarian,No,,"Rajma chawal
Mutter mushroom
Mutter Paneer ",medium spicy,0,daal chawal - Medium-spicy
35-44,Man,South India,Winter;Rainy;,kababs,Relaxed,dessert,Yes,Nuts,Non-Vegetarian,No,,"Dosa 

Roti curry 

Pizza ",mild,1,dessert - Mild
45-54,Man,South India,Winter;,south indian during summer.. north indian food in winter,Happy,tandoori roti chapathi and curry,No,,Non-Vegetarian,Yes,Non veg cooking smell,"Tandoori Roti, Dal tadaka, Methi sabji, chapati, aloo and byendi",mild,0,tandoori roti chapathi and curry - Mild
25-34,Man,South India,No Preference;,non veg any time,Relaxed,desert,No,,Non-Vegetarian,No,,"Local, tandoor, italina",medium spicy,0,desert - Medium-spicy
25-34,Man,North India,Winter;,non veg fritters,Happy,,No,,Non-Vegetarian,No,,"Chikan , sweet , cake",mild,0, - Mild
25-34,Woman,South India,Summer;Winter;,winter - spicy bhaji and samosa summer - watermelon juice and tender coconut...and sweet lazzi,Relaxed,relaxed spicy foods or chats,No,,Ovo-Vegetarians(Egg + Veg),No,,"South Indian
Italian 
Chinese",medium spicy,0,relaxed spicy foods or chats - Medium-spicy
25-34,Man,South India,No Preference;,all season tea only,No Influence,tea,No,,Non-Vegetarian,No,,"South Indian meals, garlic naan ",medium spicy,0,tea - Medium-spicy
18-24,Man,South India,Rainy;Winter;,"pav bhaji, parathe in winters, paneer rolls, shawarmas, etc..,",Stressed,pancakes with cappuccino,No,,Non-Vegetarian,Yes,"Fish, landfills, burning caramel, green tea,etc..,","Pav Bhaji, Chicken Biryani, and a good paneer curry with butter naan",spicy,0,pancakes with cappuccino - SpicyÊ
35-44,Woman,South India,Winter;,winter - hot and spicy food summers - soups,Excited,sweets,No,,Non-Vegetarian,No,,Biryani and burgers,mild,0,sweets - Mild
35-44,Man,South India,No Preference;,chow mein,Relaxed,black forest pastry,No,,Non-Vegetarian,Yes,Curd,Northindian Chinese,medium spicy,0,black forest pastry - Medium-spicy
25-34,Man,South India,Winter;,winter - samosas summer - sugar cane,Relaxed,tea,No,,Non-Vegetarian,No,,"Indian
",mild,0,tea - Mild
18-24,Man,South India,Rainy;,"vaggani, mirchi bonda",Happy,chiken,No,,Non-Vegetarian,No,,"Shruti, kalpna, vidya",spicy,0,chiken - SpicyÊ
18-24,Man,South India,Winter;,"winters - naan, paneer butter masala all seasons - biryani",Happy,roti ladies finger fry,No,,Non-Vegetarian,No,,"Taste wise - Indian  food - spicy - Schezwan Chicken Fried Rice
Occasionally - Fast foods - Noodles, Fried Rice etc.
Usual home made - Rice, Dal & Curry
",spicy,0,roti ladies finger fry - SpicyÊ
25-34,Man,South India,Winter;,winter - hot soups,No Influence,not applicable,No,Not applicable,Ovo-Vegetarians(Egg + Veg),Yes,"Chicken, fish","Biryani, crispy baby corn, veg dopyazz",mild,0,not applicable - Mild
25-34,Man,South India,No Preference;,not specific for season. as per requirement and wish.,Happy,non vegetarian,No,,Non-Vegetarian,No,,"Chicken Biryani, Kabab and dry items, fish curry ",medium spicy,0,non vegetarian - Medium-spicy
25-34,Man,South India,No Preference;,rainy days - fried foods summer days - light and easy digestive foods,Relaxed,biryani,No,,Non-Vegetarian,Yes,Dislike sea foods aroma,"Chettinad
Punjabi
Kerala",medium spicy,0,biryani - Medium-spicy
25-34,Woman,South India,Winter;,winter - soups,Happy,maggi,Yes,Besan ,Vegetarian,No,,"North Indian
Italian
Chinese",medium spicy,1,maggi - Medium-spicy
25-34,Woman,West India,Winter;,"rainy - onion pakoda, rainy - local mushroom sabzi winter - chicken soup (for soul __) winter - dodol which is local christmas dish summer - ice creams",Happy,happy ice cream or biryani as i feel like celebrating and i know no other way to celebrate then to order food,No,,Non-Vegetarian,No,,"1. Biryani and Kadi chawal- mostly all rice dishes
2. Ice creams and creamy desserts like mousse 
3. Chicken tandoori


Mostly i love Indian,  Italian and Thai Cuisine. ",spicy,0,happy ice cream or biryani as i feel like celebrating and i know no other way to celebrate then to order food - SpicyÊ
35-44,Man,South India,Winter;,fish,Stressed,icecream,No,,Pescetarians (Sea Food + Veg),No,,"Chinese
South Indian
Punjabi",spicy,0,icecream - SpicyÊ
45-54,Man,South India,Winter;,hot coffee,Stressed,coffee,No,,Vegetarian,Yes,Non Veg Smell,"Chats
Pakkoda
Soft drinks ",medium spicy,0,coffee - Medium-spicy
25-34,Man,South India,Winter;,winter - hot pasta,Happy,happy south indian,No,,Vegetarian,No,,"South Indian
North Indian
Chineese",spicy,0,happy south indian - SpicyÊ
45-54,Man,South India,Winter;,south indian dishes,No Influence,bhajji nd pakoda,No,No,Non-Vegetarian,Yes,Meat ndbfish smell,"Idli, white Pongal with sambar nd chutney nd curd rice",medium spicy,0,bhajji nd pakoda - Medium-spicy
35-44,Woman,South India,Rainy;,spicy during rainy season. cold food in summer,Stressed,chocolate,No,,Pescetarians (Sea Food + Veg),No,,"Sea food, authentic south Indian and pastries",medium spicy,0,chocolate - Medium-spicy
35-44,Woman,South India,No Preference;,"veg n non - vegetarian fritters, corn fried, chana, coffee and tea",No Influence,all moods crave for lean meat coffee n tea,No,No,Non-Vegetarian,No,Gutter smell,"Spicy, confectionery and coffee across all cuisines",spicy,0,all moods crave for lean meat coffee n tea - SpicyÊ
35-44,Woman,South India,No Preference;,"biryani any time,any season. hyderabadi biryani to b specific. mirchi bajji on a cold evening",Happy,biryani,No,,Non-Vegetarian,No,,"Hyderabadi cuisine
Indian
Italian",spicy,0,biryani - SpicyÊ
25-34,Woman,South India,Winter;,kebabs,Happy,ice cream,No,,Non-Vegetarian,No,,"Grill , south indian , steamed",medium spicy,0,ice cream - Medium-spicy
25-34,Man,Central India,Winter;,winter - chicken biryani,Happy,relaxed ice cream,No,,Non-Vegetarian,No,,Indian Chinese Italian ,spicy,0,relaxed ice cream - SpicyÊ
45-54,Prefer not to say,South India,Rainy;,qb definitely,Stressed,mava,No,Ty,Pescetarians (Sea Food + Veg),No,Gknbb,Ghnj,mild,0,mava - Mild
25-34,Man,Central India,Winter;,winter - chicken soup,Relaxed,desserts,No,,Non-Vegetarian,No,,"1. Fish
2.Chicken
3.Paneer ",medium spicy,0,desserts - Medium-spicy
18-24,Man,West India,Rainy;Winter;,masala dosa,Happy,dosa and aalo ka paratha,No,,Non-Vegetarian,No,,India cuisine,mild,0,dosa and aalo ka paratha - Mild
18-24,Man,West India,Winter;,"chicken biryani, vada pav",Happy,chicken tandoori,No,,Non-Vegetarian,No,,"Italian
Indian
Mexican",spicy,0,chicken tandoori - SpicyÊ
25-34,Man,South India,Winter;,nothing,Happy,no,No,,Non-Vegetarian,Yes,Seafood smell,"Indian, French and Chinese",mild,0,no - Mild
25-34,Man,East India,Summer;Winter;Rainy;,"dosa, vada sambhar, chicken biryani, mutton briyani",No Influence,frankie shawarma,No,,Non-Vegetarian,No,,"Vada Sambhar
Chicken Biryani
Paneer tikka masala ",medium spicy,0,frankie shawarma - Medium-spicy
25-34,Man,East India,Winter;,winter - biryani,Happy,biryani,No,no,Non-Vegetarian,No,no,pavbhaji biryani shawarma,medium spicy,0,biryani - Medium-spicy
25-34,Man,West India,Winter;,"winter - - (veg) - daal makhni, paneer. non - veg - tandoori, chicken lollipop.",Relaxed,relaxed mutton biryani,No,,Pescetarians (Sea Food + Veg),No,Dried fish.,"Chicken lollipop, Mutton biryani, Dal makhni.",mild,0,relaxed mutton biryani - Mild
25-34,Man,Central India,Winter;,biryani,Relaxed,brownie,No,,Non-Vegetarian,No,,italian,spicy,0,brownie - SpicyÊ
25-34,Man,West India,Winter;,rainy - vada pav and pakodas summer - milkshakes and lime juice,No Influence,nan,No,,Non-Vegetarian,No,,"Sea food, butter chicken and chicken kebab",medium spicy,0,nan - Medium-spicy
25-34,Man,South India,Summer;,summer - prawns ghee roast,Happy,happychicken biriyani,No,,Non-Vegetarian,No,,"Mexican, Vietnamese, Indian ",medium spicy,0,happychicken biriyani - Medium-spicy
25-34,Man,West India,Winter;,butter chicken chicken kebab pav bhaji,Happy,desserts,No,,Non-Vegetarian,No,,"Butter Chicken
Chicken Kebab
Pav Bhaji",medium spicy,0,desserts - Medium-spicy
18-24,Woman,North India,Winter;,winter - gajar ka halwa.,Stressed,chocolates,Yes,Dahi,Vegetarian,Yes,Dried Fish ,"Panipuri
Shahi paneer 
Momos ",medium spicy,1,chocolates - Medium-spicy
25-34,Man,East India,Winter;,tandoori,Happy,dark chocolate,Yes,Acidity   ,Dairy Free,No,Beer smell,Indian ,mild,1,dark chocolate - Mild
18-24,Woman,East India,Winter;,winter - haldi ki sabji,Happy,happypanipuri,No,,Vegetarian,No,,"Chinese,Indian ",spicy,0,happypanipuri - SpicyÊ
18-24,Man,West India,Rainy;Winter;,rainy - hot coffee and tea,Happy,happy non veg,No,,Non-Vegetarian,No,,"Puran poli, chienese, chicken butter masala",medium spicy,0,happy non veg - Medium-spicy
18-24,Woman,West India,No Preference;,summer - medium spicy food winter - spicy food,Happy,every problems one solution is sweet food,No,,Non-Vegetarian,No,,"Italian
North Indian
French
",mild,0,every problems one solution is sweet food - Mild
25-34,Woman,West India,Winter;,"winter - hot chocolate, soups, pizza",Happy,dark chocolate brownie,Yes,Mushroom ,Non-Vegetarian,No,,"Italian
Chinese
Indian",spicy,1,dark chocolate brownie - SpicyÊ
