Age,Gender,Location,Season_Preference,Season_Food_Preference,Mood_Preference,Mood_Food_Preference,Allergies,Allgery_restriction,Diet_Preference,Smell_Preference,Smell_restriction,Cuisine_Fav,Spice_Pref,Has_Food_Allergies,Mood_Spice_preference
35-44,Man,South India,No Preference;,veg food only,Relaxed,any kind of sweets,No,,Vegetarian,No,,any veg food,medium spicy,0,any kind of sweets - Medium-spicy
18-24,Man,South India,No Preference;,no,Happy,happy sweet,No,,Vegetarian,Yes,Meat smell,"Paneer dishes
Sweets 
Fried rice",mild,0,happy sweet - Mild
18-24,Man,South India,No Preference;,nope,Stressed,cake,No,,Vegetarian,No,,Indian Chinese korean,spicy,0,cake - SpicyÊ
18-24,Man,South India,Summer;,continental + mocktails,No Influence,na,No,,Vegetarian,No,,"Chinese, Indian, Italian ",medium spicy,0,na - Medium-spicy
18-24,Woman,West India,Winter;,"summer - icecreams , deserts",Happy,happy chocolate pastry,No,,Vegetarian,Yes,Milk smell,"Indian Cuisine
Chinese Cuisine ",medium spicy,0,happy chocolate pastry - Medium-spicy
18-24,Man,South India,Winter;,mutton,Happy,thickshake,No,,Non-Vegetarian,No,,"Punjabi, lebenese, italian",medium spicy,0,thickshake - Medium-spicy
18-24,Woman,West India,Winter;,french fries,Happy,shawrma,No,,Gluten Free,No,,"Indian
Italian
Mexican",medium spicy,0,shawrma - Medium-spicy
25-34,Woman,South India,Winter;Rainy;,any indian food,Happy,ice cream,No,,Vegetarian,Yes,"Papaya, all non-veg , sapota, sitaphal ","Indo- Chinese 
Indian ",spicy,0,ice cream - SpicyÊ
25-34,Woman,East India,Winter;,cheesy chicken fritters,Stressed,belgian chocolate icecream,Yes,Apple,Non-Vegetarian,No,,"Italian, continental, South indian",spicy,1,belgian chocolate icecream - SpicyÊ
18-24,Woman,South India,Summer;,summer - ice creams and mangoes,No Influence,cake,No,,Vegetarian,No,,"Vegetarian 
Chinese
Italian",spicy,0,cake - SpicyÊ
25-34,Man,South India,No Preference;,"winter & rainy - biriyani, chicks tandoori, grill summer - more liquid and juicy food",Stressed,stressed biriyani,No,,Vegan,No,,"Chettinad
",medium spicy,0,stressed biriyani - Medium-spicy
35-44,Man,West India,Rainy;,kori rutti,Happy,kebabs,No,,Non-Vegetarian,No,,"Tandoori Kebabs, biryani",spicy,0,kebabs - SpicyÊ
18-24,Man,South India,No Preference;,"pakodas,maggie,bhel",Happy,spicy food,No,,Vegetarian,No,,"Punjabi,Chinese,South Indian",medium spicy,0,spicy food - Medium-spicy
18-24,Woman,South India,No Preference;,pani puri,Stressed,sweets,No,,Vegetarian,Yes,Paint,"South Indian, North Indian and Chinese ",spicy,0,sweets - SpicyÊ
18-24,Man,South India,Winter;,"chai, pakoda & biryani in winter. falooda, juices, etc in summer",Happy,any sweet,No,,Non-Vegetarian,No,,"Biryani, Pizza & Chill Chicken ",medium spicy,0,any sweet - Medium-spicy
25-34,Man,South India,Winter;,fast food,Happy,nothing,No,,Non-Vegetarian,No,,Punjab dishes,spicy,0,nothing - SpicyÊ
18-24,Man,South India,Summer;,"seasonal fruits are preferable like mango in summer, sitaphal in rainy,etc. but when it comes to food or dishes in summer light food like curd rice by which sweat __ less in sunny day. in winter sab ka swad ek hi naam chicken tikka masala with any indian breads.when it is about rainy eating healthy is prioritised to keep good health condition.thank you santhosh's akka.",Happy,kfc,No,,Non-Vegetarian,No,,"South Indian, Chinese, Punjabi ",mild,0,kfc - Mild
18-24,Woman,West India,No Preference;,ice creams in rainy and summer season,Happy,any fries food,No,,Pescetarians (Sea Food + Veg),No,,"Maharashtrian
Punjabi
Chinese",medium spicy,0,any fries food - Medium-spicy
35-44,Woman,South India,Winter;,winter - hot coffee,Happy,happy aloo tikki,No,,Pescetarians (Sea Food + Veg),Yes,Perfume(Jasmine) ,"Butter chicken, Butter roti, Chicken kabab",spicy,0,happy aloo tikki - SpicyÊ
25-34,Man,South India,Winter;,"rainy - vadagam, jackfruit kadubu winter - egg bonda summer - pineapple sheera",Excited,excited chicken tandoori,Yes,Uppittu,Ovo-Vegetarians(Egg + Veg),Yes,Egg smell,"Chicken tandoori
Anjala tawa fry
Prawns 
Sheera",spicy,1,excited chicken tandoori - SpicyÊ
25-34,Man,West India,Rainy;,"rainy ...pakodas with garam chai, mendu wada with garam chatani,",Stressed,stressed juice,No,,Non-Vegetarian,No,,"South Indian breakfast food
Dal
Chaval
Bhajji",mild,0,stressed juice - Mild
18-24,Man,South India,Rainy;,rainy - veg fritters (pakodas),Happy,stressed chocolate cake,No,NO,Pescetarians (Sea Food + Veg),No,Fish Smell,"TANDOORI CHICKEN,CHICKEN SUKKA,PAYASAM",spicy,0,stressed chocolate cake - SpicyÊ
25-34,Man,South India,Summer;,icecreams,No Influence,butterscotch icecream,No,,Non-Vegetarian,No,,"Mangalorean dishes, Biriyani, Deep Fried ",mild,0,butterscotch icecream - Mild
25-34,Man,South India,Rainy;,rainy - spicy food winter - golibaje summer - ice cream,Happy,biriyani,No,,Gluten Free,No,Bittergourd taste,"Biriyani, Panneer Kadai, Chicken tikka",spicy,0,biriyani - SpicyÊ
35-44,Woman,South India,Winter;,"mild spicy & preferably anything in non veg, veg can also do but it should be chatpata - )",Relaxed,fried items,No,,Non-Vegetarian,No,,"Fried, mild spicy - something like chicken lollipop (when served hot), Pani puri, chapati & potato bhaji, dry fish, mostly now a days, i prefer anything healthy but sometimes crave for non healthy too",medium spicy,0,fried items - Medium-spicy
18-24,Woman,East India,Rainy;,hot and spicy food,Happy,chocolate cake,No,,Vegetarian,No,,"Ice-cream, khaman dhokla, samosa, patara
 ",medium spicy,0,chocolate cake - Medium-spicy
18-24,Man,South India,Winter;,potato chips,Happy,maggie,No,,Vegetarian,No,,Spicy ,spicy,0,maggie - SpicyÊ
18-24,Prefer not to say,South India,Rainy;,"gobi manchurian, paani puri, paneer",Happy,juice and drinks,No,,Gluten Free,No,,Gobi Manchurian ,mild,0,juice and drinks - Mild
25-34,Man,South India,No Preference;,"rainy - hot soup, tea",Stressed,stressed processed foods pizzaburger sandwich roll,No,,Non-Vegetarian,No,,"Biriyani, idly sambar, veg meals",medium spicy,0,stressed processed foods pizzaburger sandwich roll - Medium-spicy
35-44,Man,North India,Winter;,winterõs breakfast(sitting in sunlights) ñ methi roti with white butter,Happy,happy japanese cheese cake,Yes,Egg & mushroom ,Non-Vegetarian,No,Mutton brain curry,"Itailain
Mediterranean 
Mughlai",mild,1,happy japanese cheese cake - Mild
18-24,Woman,South India,Winter;,winter - bajji summer - ice cream rainy - chat,Happy,boriyani,No,,Non-Vegetarian,No,,Indian,mild,0,boriyani - Mild
18-24,Man,South India,No Preference;,summer - lassi rainy - pakodi any season - biryani,Relaxed,stressed something sweet,No,,Non-Vegetarian,No,,Noj veg ,spicy,0,stressed something sweet - SpicyÊ
18-24,Man,South India,Summer;,summer mangoes __,No Influence,hungry biryani,No,,Vegetarian,No,,Southern,medium spicy,0,hungry biryani - Medium-spicy
55-64,Man,South India,No Preference;,veg,Relaxed,veg soup,No,,Ovo-Vegetarians(Egg + Veg),No,,"Idli vada, Dosa, kichidi",mild,0,veg soup - Mild
25-34,Man,South India,Winter;,winter - wine,Happy,wine,No,No,Non-Vegetarian,No,No,Chicken Mutton Fish ,spicy,0,wine - SpicyÊ
25-34,Man,East India,Winter;,mainly nonveg tandoor items throughout the seasons. fried items during rainy season.,Stressed,stressed chocolates or any other dessert,No,,Non-Vegetarian,No,,"Bengali
Indian ( North Indian and Indo-mughal)
Mediterrasian Bistro",mild,0,stressed chocolates or any other dessert - Mild
18-24,Woman,South India,Winter;,winter - hot soups,Happy,chocolates,No,,Vegetarian,No,,"Chinese, Indian , Mughlai",spicy,0,chocolates - SpicyÊ
18-24,Man,South India,Summer;,"rainy season - bhaji, pakoda",Happy,relaxed sweets,No,,Ovo-Vegetarians(Egg + Veg),No,,"Donut, pizza, sweets ",spicy,0,relaxed sweets - SpicyÊ
18-24,Woman,South India,Winter;Rainy;,"winter - night tiffins, rainy - roadside snaks, any day - biryani",Stressed,stressed sweet and chocolate happy spicy food,No,,Non-Vegetarian,No,,"South Indian, North Indian, Deserts",medium spicy,0,stressed sweet and chocolate happy spicy food - Medium-spicy
18-24,Man,South India,Summer;,summer - chicken biryani,Excited,excited chicken biryani,No,,Non-Vegetarian,No,,"Fruits and vegetables 
Protein 
Fat",medium spicy,0,excited chicken biryani - Medium-spicy
18-24,Woman,South India,No Preference;,any type of food in any season!!,Happy,chips,No,,Non-Vegetarian,Yes,Fish smell,"Indian
Chinese 
Italian",medium spicy,0,chips - Medium-spicy
25-34,Woman,South India,Winter;,ya something spicy and hot,Stressed,biriyani,No,,Ovo-Vegetarians(Egg + Veg),No,,"Veg salad 
Omlete 
Home made Biriyani",medium spicy,0,biriyani - Medium-spicy
35-44,Man,West India,Winter;,pork,Happy,yes,Yes,egg,Vegetarian,Yes,,veg,spicy,1,yes - SpicyÊ
25-34,Man,West India,Winter;,"rainy - veg(dal bhat) winter - non veg(chicken, mutton) summer - fish",Relaxed,vadapav,No,,Gluten Free,No,,"Nashta-south indian
Lunch- maharastrian
Dinner- chinese",medium spicy,0,vadapav - Medium-spicy
25-34,Woman,South India,Winter;,vada pav,Stressed,butterscotch cake,No,No allergies,Non-Vegetarian,No,No,Spicy,spicy,0,butterscotch cake - SpicyÊ
